"Cell_type"	"Gene"	"source"
"1386"	"CD8+ T-cells"	"ARHGAP8"	"Bindea_2013"
"1387"	"CD8+ T-cells"	"C12orf47"	"Bindea_2013"
"1388"	"CD8+ T-cells"	"C19orf6"	"Bindea_2013"
"1389"	"CD8+ T-cells"	"C4orf15"	"Bindea_2013"
"1390"	"CD8+ T-cells"	"CAMLG"	"Bindea_2013"
"1391"	"CD8+ T-cells"	"CD8A"	"Bindea_2013"
"1392"	"CD8+ T-cells"	"CD8B"	"Bindea_2013"
"1393"	"CD8+ T-cells"	"CDKN2AIP"	"Bindea_2013"
"1394"	"CD8+ T-cells"	"DNAJB1"	"Bindea_2013"
"1395"	"CD8+ T-cells"	"FLT3LG"	"Bindea_2013"
"1396"	"CD8+ T-cells"	"GADD45A"	"Bindea_2013"
"1397"	"CD8+ T-cells"	"GZMM"	"Bindea_2013"
"1398"	"CD8+ T-cells"	"KLF9"	"Bindea_2013"
"1399"	"CD8+ T-cells"	"LEPROTL1"	"Bindea_2013"
"1400"	"CD8+ T-cells"	"LIME1"	"Bindea_2013"
"1401"	"CD8+ T-cells"	"MYST3"	"Bindea_2013"
"1402"	"CD8+ T-cells"	"PF4"	"Bindea_2013"
"1403"	"CD8+ T-cells"	"PPP1R2"	"Bindea_2013"
"1404"	"CD8+ T-cells"	"PRF1"	"Bindea_2013"
"1405"	"CD8+ T-cells"	"PRR5"	"Bindea_2013"
"1406"	"CD8+ T-cells"	"RBM3"	"Bindea_2013"
"1407"	"CD8+ T-cells"	"SF1"	"Bindea_2013"
"1408"	"CD8+ T-cells"	"SFRS7"	"Bindea_2013"
"1409"	"CD8+ T-cells"	"SLC16A7"	"Bindea_2013"
"1410"	"CD8+ T-cells"	"TBCC"	"Bindea_2013"
"1411"	"CD8+ T-cells"	"THUMPD1"	"Bindea_2013"
"1412"	"CD8+ T-cells"	"TMC6"	"Bindea_2013"
"1413"	"CD8+ T-cells"	"TSC22D3"	"Bindea_2013"
"1414"	"CD8+ T-cells"	"VAMP2"	"Bindea_2013"
"1415"	"CD8+ T-cells"	"ZEB1"	"Bindea_2013"
"1416"	"CD8+ T-cells"	"ZFP36L2"	"Bindea_2013"
"1417"	"CD8+ T-cells"	"ZNF22"	"Bindea_2013"
"1418"	"CD8+ T-cells"	"ZNF609"	"Bindea_2013"
"1419"	"CD8+ T-cells"	"ZNF91"	"Bindea_2013"
"1420"	"DC"	"CCL13"	"Bindea_2013"
"1421"	"DC"	"CCL17"	"Bindea_2013"
"1422"	"DC"	"CCL22"	"Bindea_2013"
"1423"	"DC"	"CD209"	"Bindea_2013"
"1424"	"DC"	"HSD11B1"	"Bindea_2013"
"1425"	"DC"	"NPR1"	"Bindea_2013"
"1426"	"DC"	"PPFIBP2"	"Bindea_2013"
"1427"	"Eosinophils"	"ABHD2"	"Bindea_2013"
"1428"	"Eosinophils"	"ACACB"	"Bindea_2013"
"1429"	"Eosinophils"	"C9orf156"	"Bindea_2013"
"1430"	"Eosinophils"	"CAT"	"Bindea_2013"
"1431"	"Eosinophils"	"CCR3"	"Bindea_2013"
"1432"	"Eosinophils"	"CLC"	"Bindea_2013"
"1433"	"Eosinophils"	"CYSLTR2"	"Bindea_2013"
"1434"	"Eosinophils"	"EMR1"	"Bindea_2013"
"1435"	"Eosinophils"	"EPN2"	"Bindea_2013"
"1436"	"Eosinophils"	"GALC"	"Bindea_2013"
"1437"	"Eosinophils"	"GPR44"	"Bindea_2013"
"1438"	"Eosinophils"	"HES1"	"Bindea_2013"
"1439"	"Eosinophils"	"HIST1H1C"	"Bindea_2013"
"1440"	"Eosinophils"	"HRH4"	"Bindea_2013"
"1441"	"Eosinophils"	"IGSF2"	"Bindea_2013"
"1442"	"Eosinophils"	"IL5RA"	"Bindea_2013"
"1443"	"Eosinophils"	"KBTBD11"	"Bindea_2013"
"1444"	"Eosinophils"	"KCNH2"	"Bindea_2013"
"1445"	"Eosinophils"	"LRP5L"	"Bindea_2013"
"1446"	"Eosinophils"	"MYO15B"	"Bindea_2013"
"1447"	"Eosinophils"	"RCOR3"	"Bindea_2013"
"1448"	"Eosinophils"	"RNASE2"	"Bindea_2013"
"1449"	"Eosinophils"	"RRP12"	"Bindea_2013"
"1450"	"Eosinophils"	"SIAH1"	"Bindea_2013"
"1451"	"Eosinophils"	"SMPD3"	"Bindea_2013"
"1452"	"Eosinophils"	"SYNJ1"	"Bindea_2013"
"1453"	"Eosinophils"	"TGIF1"	"Bindea_2013"
"1454"	"Eosinophils"	"THBS1"	"Bindea_2013"
"1455"	"Eosinophils"	"THBS4"	"Bindea_2013"
"1456"	"Eosinophils"	"TIPARP"	"Bindea_2013"
"1457"	"Eosinophils"	"TKTL1"	"Bindea_2013"
"1458"	"Macrophages"	"APOE"	"Bindea_2013"
"1459"	"Macrophages"	"ATG7"	"Bindea_2013"
"1460"	"Macrophages"	"BCAT1"	"Bindea_2013"
"1461"	"Macrophages"	"CCL7"	"Bindea_2013"
"1462"	"Macrophages"	"CD163"	"Bindea_2013"
"1463"	"Macrophages"	"CD68"	"Bindea_2013"
"1464"	"Macrophages"	"CD84"	"Bindea_2013"
"1465"	"Macrophages"	"CHI3L1"	"Bindea_2013"
"1466"	"Macrophages"	"CHIT1"	"Bindea_2013"
"1467"	"Macrophages"	"CLEC5A"	"Bindea_2013"
"1468"	"Macrophages"	"COL8A2"	"Bindea_2013"
"1469"	"Macrophages"	"COLEC12"	"Bindea_2013"
"1470"	"Macrophages"	"CTSK"	"Bindea_2013"
"1471"	"Macrophages"	"CXCL5"	"Bindea_2013"
"1472"	"Macrophages"	"CYBB"	"Bindea_2013"
"1473"	"Macrophages"	"DNASE2B"	"Bindea_2013"
"1474"	"Macrophages"	"EMP1"	"Bindea_2013"
"1475"	"Macrophages"	"FDX1"	"Bindea_2013"
"1476"	"Macrophages"	"FN1"	"Bindea_2013"
"1477"	"Macrophages"	"GM2A"	"Bindea_2013"
"1478"	"Macrophages"	"GPC4"	"Bindea_2013"
"1479"	"Macrophages"	"KAL1"	"Bindea_2013"
"1480"	"Macrophages"	"MARCO"	"Bindea_2013"
"1481"	"Macrophages"	"ME1"	"Bindea_2013"
"1482"	"Macrophages"	"MS4A4A"	"Bindea_2013"
"1483"	"Macrophages"	"MSR1"	"Bindea_2013"
"1484"	"Macrophages"	"PCOLCE2"	"Bindea_2013"
"1485"	"Macrophages"	"PTGDS"	"Bindea_2013"
"1486"	"Macrophages"	"RAI14"	"Bindea_2013"
"1487"	"Macrophages"	"SCARB2"	"Bindea_2013"
"1488"	"Macrophages"	"SCG5"	"Bindea_2013"
"1489"	"Macrophages"	"SGMS1"	"Bindea_2013"
"1490"	"Macrophages"	"SULT1C2"	"Bindea_2013"
"1491"	"Mast cells"	"ABCC4"	"Bindea_2013"
"1492"	"Mast cells"	"ADCYAP1"	"Bindea_2013"
"1493"	"Mast cells"	"CALB2"	"Bindea_2013"
"1494"	"Mast cells"	"CEACAM8"	"Bindea_2013"
"1495"	"Mast cells"	"CMA1"	"Bindea_2013"
"1496"	"Mast cells"	"CPA3"	"Bindea_2013"
"1497"	"Mast cells"	"CTSG"	"Bindea_2013"
"1498"	"Mast cells"	"ELA2"	"Bindea_2013"
"1499"	"Mast cells"	"GATA2"	"Bindea_2013"
"1500"	"Mast cells"	"HDC"	"Bindea_2013"
"1501"	"Mast cells"	"HPGD"	"Bindea_2013"
"1502"	"Mast cells"	"HPGDS"	"Bindea_2013"
"1503"	"Mast cells"	"KIT"	"Bindea_2013"
"1504"	"Mast cells"	"LINC01140"	"Bindea_2013"
"1505"	"Mast cells"	"MAOB"	"Bindea_2013"
"1506"	"Mast cells"	"MLPH"	"Bindea_2013"
"1507"	"Mast cells"	"MPO"	"Bindea_2013"
"1508"	"Mast cells"	"MS4A2"	"Bindea_2013"
"1509"	"Mast cells"	"NR0B1"	"Bindea_2013"
"1510"	"Mast cells"	"PPM1H"	"Bindea_2013"
"1511"	"Mast cells"	"PRG2"	"Bindea_2013"
"1512"	"Mast cells"	"PTGS1"	"Bindea_2013"
"1513"	"Mast cells"	"SCG2"	"Bindea_2013"
"1514"	"Mast cells"	"SIGLEC6"	"Bindea_2013"
"1515"	"Mast cells"	"SLC18A2"	"Bindea_2013"
"1516"	"Mast cells"	"SLC24A3"	"Bindea_2013"
"1517"	"Mast cells"	"TAL1"	"Bindea_2013"
"1518"	"Mast cells"	"TPSAB1"	"Bindea_2013"
"1519"	"Mast cells"	"TPSB2"	"Bindea_2013"
"1520"	"Mast cells"	"VWA5A"	"Bindea_2013"
"1521"	"Neutrophils"	"ADARB1"	"Bindea_2013"
"1522"	"Neutrophils"	"AF107846"	"Bindea_2013"
"1523"	"Neutrophils"	"ALDH1B1"	"Bindea_2013"
"1524"	"Neutrophils"	"APBB2"	"Bindea_2013"
"1525"	"Neutrophils"	"ATL2"	"Bindea_2013"
"1526"	"Neutrophils"	"BCL2"	"Bindea_2013"
"1527"	"Neutrophils"	"CDC5L"	"Bindea_2013"
"1528"	"Neutrophils"	"FGF18"	"Bindea_2013"
"1529"	"Neutrophils"	"FUT5"	"Bindea_2013"
"1530"	"Neutrophils"	"FZR1"	"Bindea_2013"
"1531"	"Neutrophils"	"GAGE2A"	"Bindea_2013"
"1532"	"Neutrophils"	"IGFBP5"	"Bindea_2013"
"1533"	"Neutrophils"	"KANK2"	"Bindea_2013"
"1534"	"Neutrophils"	"LDB3"	"Bindea_2013"
"1535"	"Neutrophils"	"MAPRE3"	"Bindea_2013"
"1536"	"Neutrophils"	"MCM3AP"	"Bindea_2013"
"1537"	"Neutrophils"	"MRC2"	"Bindea_2013"
"1538"	"Neutrophils"	"NCR1"	"Bindea_2013"
"1539"	"Neutrophils"	"PDLIM4"	"Bindea_2013"
"1540"	"Neutrophils"	"PRX"	"Bindea_2013"
"1541"	"Neutrophils"	"PSMD4"	"Bindea_2013"
"1542"	"Neutrophils"	"RP5-886K2.1"	"Bindea_2013"
"1543"	"Neutrophils"	"SGMS1"	"Bindea_2013"
"1544"	"Neutrophils"	"SLC30A5"	"Bindea_2013"
"1545"	"Neutrophils"	"SMEK1"	"Bindea_2013"
"1546"	"Neutrophils"	"SPN"	"Bindea_2013"
"1547"	"Neutrophils"	"TBXA2R"	"Bindea_2013"
"1548"	"Neutrophils"	"TCTN2"	"Bindea_2013"
"1549"	"Neutrophils"	"TINAGL1"	"Bindea_2013"
"1550"	"Neutrophils"	"TRPV6"	"Bindea_2013"
"1551"	"Neutrophils"	"XCL1"	"Bindea_2013"
"1552"	"Neutrophils"	"XCL2"	"Bindea_2013"
"1553"	"Neutrophils"	"ZNF205"	"Bindea_2013"
"1554"	"Neutrophils"	"ZNF528"	"Bindea_2013"
"1555"	"Neutrophils"	"ZNF747"	"Bindea_2013"
"1556"	"NK cells"	"ALPL"	"Bindea_2013"
"1557"	"NK cells"	"BST1"	"Bindea_2013"
"1558"	"NK cells"	"CD93"	"Bindea_2013"
"1559"	"NK cells"	"CEACAM3"	"Bindea_2013"
"1560"	"NK cells"	"CREB5"	"Bindea_2013"
"1561"	"NK cells"	"CRISPLD2"	"Bindea_2013"
"1562"	"NK cells"	"CSF3R"	"Bindea_2013"
"1563"	"NK cells"	"CYP4F3"	"Bindea_2013"
"1564"	"NK cells"	"DYSF"	"Bindea_2013"
"1565"	"NK cells"	"FCAR"	"Bindea_2013"
"1566"	"NK cells"	"FCGR3B"	"Bindea_2013"
"1567"	"NK cells"	"FLJ11151"	"Bindea_2013"
"1568"	"NK cells"	"FPR1"	"Bindea_2013"
"1569"	"NK cells"	"FPRL1"	"Bindea_2013"
"1570"	"NK cells"	"G0S2"	"Bindea_2013"
"1571"	"NK cells"	"HIST1H2BC"	"Bindea_2013"
"1572"	"NK cells"	"HPSE"	"Bindea_2013"
"1573"	"NK cells"	"IL8RA"	"Bindea_2013"
"1574"	"NK cells"	"IL8RB"	"Bindea_2013"
"1575"	"NK cells"	"KCNJ15"	"Bindea_2013"
"1576"	"NK cells"	"LILRB2"	"Bindea_2013"
"1577"	"NK cells"	"MGAM"	"Bindea_2013"
"1578"	"NK cells"	"MME"	"Bindea_2013"
"1579"	"NK cells"	"PDE4B"	"Bindea_2013"
"1580"	"NK cells"	"S100A12"	"Bindea_2013"
"1581"	"NK cells"	"SIGLEC5"	"Bindea_2013"
"1582"	"NK cells"	"SLC22A4"	"Bindea_2013"
"1583"	"NK cells"	"SLC25A37"	"Bindea_2013"
"1584"	"NK cells"	"TECPR2"	"Bindea_2013"
"1585"	"NK cells"	"TNFRSF10C"	"Bindea_2013"
"1586"	"NK cells"	"VNN3"	"Bindea_2013"
"1587"	"Tgd cells"	"C1orf61"	"Bindea_2013"
"1588"	"Tgd cells"	"CD160"	"Bindea_2013"
"1589"	"Tgd cells"	"FEZ1"	"Bindea_2013"
"1590"	"Tgd cells"	"TARP"	"Bindea_2013"
"1591"	"Tgd cells"	"TRD"	"Bindea_2013"
"1592"	"Tgd cells"	"TRGV9"	"Bindea_2013"
"1593"	"Th1 cells"	"APBB2"	"Bindea_2013"
"1594"	"Th1 cells"	"APOD"	"Bindea_2013"
"1595"	"Th1 cells"	"ATP9A"	"Bindea_2013"
"1596"	"Th1 cells"	"BST2"	"Bindea_2013"
"1597"	"Th1 cells"	"BTG3"	"Bindea_2013"
"1598"	"Th1 cells"	"CCL4"	"Bindea_2013"
"1599"	"Th1 cells"	"CD38"	"Bindea_2013"
"1600"	"Th1 cells"	"CD70"	"Bindea_2013"
"1601"	"Th1 cells"	"CMAH"	"Bindea_2013"
"1602"	"Th1 cells"	"CSF2"	"Bindea_2013"
"1603"	"Th1 cells"	"CTLA4"	"Bindea_2013"
"1604"	"Th1 cells"	"DGKI"	"Bindea_2013"
"1605"	"Th1 cells"	"DOK5"	"Bindea_2013"
"1606"	"Th1 cells"	"DPP4"	"Bindea_2013"
"1607"	"Th1 cells"	"DUSP5"	"Bindea_2013"
"1608"	"Th1 cells"	"EGFL6"	"Bindea_2013"
"1609"	"Th1 cells"	"GGT1"	"Bindea_2013"
"1610"	"Th1 cells"	"HBEGF"	"Bindea_2013"
"1611"	"Th1 cells"	"IFNG"	"Bindea_2013"
"1612"	"Th1 cells"	"IL12RB2"	"Bindea_2013"
"1613"	"Th1 cells"	"IL22"	"Bindea_2013"
"1614"	"Th1 cells"	"LRP8"	"Bindea_2013"
"1615"	"Th1 cells"	"LRRN3"	"Bindea_2013"
"1616"	"Th1 cells"	"LTA"	"Bindea_2013"
"1617"	"Th1 cells"	"SGCB"	"Bindea_2013"
"1618"	"Th1 cells"	"SYNGR3"	"Bindea_2013"
"1619"	"Th1 cells"	"ZBTB32"	"Bindea_2013"
"1620"	"Th2 cells"	"ADCY1"	"Bindea_2013"
"1621"	"Th2 cells"	"AHI1"	"Bindea_2013"
"1622"	"Th2 cells"	"ANK1"	"Bindea_2013"
"1623"	"Th2 cells"	"BIRC5"	"Bindea_2013"
"1624"	"Th2 cells"	"CDC25C"	"Bindea_2013"
"1625"	"Th2 cells"	"CDC7"	"Bindea_2013"
"1626"	"Th2 cells"	"CENPF"	"Bindea_2013"
"1627"	"Th2 cells"	"CXCR6"	"Bindea_2013"
"1628"	"Th2 cells"	"DHFR"	"Bindea_2013"
"1629"	"Th2 cells"	"EVI5"	"Bindea_2013"
"1630"	"Th2 cells"	"GATA3"	"Bindea_2013"
"1631"	"Th2 cells"	"GSTA4"	"Bindea_2013"
"1632"	"Th2 cells"	"HELLS"	"Bindea_2013"
"1633"	"Th2 cells"	"IL26"	"Bindea_2013"
"1634"	"Th2 cells"	"LAIR2"	"Bindea_2013"
"1635"	"Th2 cells"	"LIMA1"	"Bindea_2013"
"1636"	"Th2 cells"	"MB"	"Bindea_2013"
"1637"	"Th2 cells"	"MICAL2"	"Bindea_2013"
"1638"	"Th2 cells"	"NEIL3"	"Bindea_2013"
"1639"	"Th2 cells"	"PHEX"	"Bindea_2013"
"1640"	"Th2 cells"	"PMCH"	"Bindea_2013"
"1641"	"Th2 cells"	"PTGIS"	"Bindea_2013"
"1642"	"Th2 cells"	"SLC39A14"	"Bindea_2013"
"1643"	"Th2 cells"	"SMAD2"	"Bindea_2013"
"1644"	"Th2 cells"	"SNRPD1"	"Bindea_2013"
"1645"	"Th2 cells"	"WDHD1"	"Bindea_2013"
"1646"	"Tregs"	"FOXP3"	"Bindea_2013"
"1647"	"aDC"	"CCL1"	"Bindea_2013"
"1648"	"aDC"	"EBI3"	"Bindea_2013"
"1649"	"aDC"	"INDO"	"Bindea_2013"
"1650"	"aDC"	"LAMP3"	"Bindea_2013"
"1651"	"aDC"	"OAS3"	"Bindea_2013"
"1652"	"iDC"	"ABCG2"	"Bindea_2013"
"1653"	"iDC"	"BLVRB"	"Bindea_2013"
"1654"	"iDC"	"CARD9"	"Bindea_2013"
"1655"	"iDC"	"CD1A"	"Bindea_2013"
"1656"	"iDC"	"CD1B"	"Bindea_2013"
"1657"	"iDC"	"CD1C"	"Bindea_2013"
"1658"	"iDC"	"CD1E"	"Bindea_2013"
"1659"	"iDC"	"CH25H"	"Bindea_2013"
"1660"	"iDC"	"CLEC10A"	"Bindea_2013"
"1661"	"iDC"	"CSF1R"	"Bindea_2013"
"1662"	"iDC"	"CTNS"	"Bindea_2013"
"1663"	"iDC"	"F13A1"	"Bindea_2013"
"1664"	"iDC"	"FABP4"	"Bindea_2013"
"1665"	"iDC"	"FZD2"	"Bindea_2013"
"1666"	"iDC"	"GSTT1"	"Bindea_2013"
"1667"	"iDC"	"GUCA1A"	"Bindea_2013"
"1668"	"iDC"	"HS3ST2"	"Bindea_2013"
"1669"	"iDC"	"LMAN2L"	"Bindea_2013"
"1670"	"iDC"	"MMP12"	"Bindea_2013"
"1671"	"iDC"	"MS4A6A"	"Bindea_2013"
"1672"	"iDC"	"NUDT9"	"Bindea_2013"
"1673"	"iDC"	"PDXK"	"Bindea_2013"
"1674"	"iDC"	"PPARG"	"Bindea_2013"
"1675"	"iDC"	"PREP"	"Bindea_2013"
"1676"	"iDC"	"RAP1GAP"	"Bindea_2013"
"1677"	"iDC"	"SLC26A6"	"Bindea_2013"
"1678"	"iDC"	"SLC7A8"	"Bindea_2013"
"1679"	"iDC"	"SYT17"	"Bindea_2013"
"1680"	"iDC"	"TACSTD2"	"Bindea_2013"
"1681"	"iDC"	"TM7SF4"	"Bindea_2013"
"1682"	"iDC"	"VASH1"	"Bindea_2013"
"1683"	"pDC"	"IL3RA"	"Bindea_2013"
"1684"	"b_cells_memory"	"ADAM28"	"Newman_2015"
"1685"	"b_cells_memory"	"AIM2"	"Newman_2015"
"1686"	"b_cells_memory"	"ALOX5"	"Newman_2015"
"1687"	"b_cells_memory"	"BACH2"	"Newman_2015"
"1688"	"b_cells_memory"	"BANK1"	"Newman_2015"
"1689"	"b_cells_memory"	"BLK"	"Newman_2015"
"1690"	"b_cells_memory"	"CCR6"	"Newman_2015"
"1691"	"b_cells_memory"	"CD180"	"Newman_2015"
"1692"	"b_cells_memory"	"CD19"	"Newman_2015"
"1693"	"b_cells_memory"	"CD1C"	"Newman_2015"
"1694"	"b_cells_memory"	"CD22"	"Newman_2015"
"1695"	"b_cells_memory"	"CD27"	"Newman_2015"
"1696"	"b_cells_memory"	"CD37"	"Newman_2015"
"1697"	"b_cells_memory"	"CD69"	"Newman_2015"
"1698"	"b_cells_memory"	"CD72"	"Newman_2015"
"1699"	"b_cells_memory"	"CD79A"	"Newman_2015"
"1700"	"b_cells_memory"	"CD79B"	"Newman_2015"
"1701"	"b_cells_memory"	"CLCA3P"	"Newman_2015"
"1702"	"b_cells_memory"	"CR2"	"Newman_2015"
"1703"	"b_cells_memory"	"CXCR5"	"Newman_2015"
"1704"	"b_cells_memory"	"DENND5B"	"Newman_2015"
"1705"	"b_cells_memory"	"FCGR2B"	"Newman_2015"
"1706"	"b_cells_memory"	"FCMR"	"Newman_2015"
"1707"	"b_cells_memory"	"FCRL2"	"Newman_2015"
"1708"	"b_cells_memory"	"FRK"	"Newman_2015"
"1709"	"b_cells_memory"	"GNG7"	"Newman_2015"
"1710"	"b_cells_memory"	"GPR18"	"Newman_2015"
"1711"	"b_cells_memory"	"GUSBP11"	"Newman_2015"
"1712"	"b_cells_memory"	"HHEX"	"Newman_2015"
"1713"	"b_cells_memory"	"HLA-DOB"	"Newman_2015"
"1714"	"b_cells_memory"	"IFNA10"	"Newman_2015"
"1715"	"b_cells_memory"	"IGHD"	"Newman_2015"
"1716"	"b_cells_memory"	"IGHM"	"Newman_2015"
"1717"	"b_cells_memory"	"IGKC"	"Newman_2015"
"1718"	"b_cells_memory"	"IGLL3P"	"Newman_2015"
"1719"	"b_cells_memory"	"IL7"	"Newman_2015"
"1720"	"b_cells_memory"	"IRF8"	"Newman_2015"
"1721"	"b_cells_memory"	"LTB"	"Newman_2015"
"1722"	"b_cells_memory"	"LY86"	"Newman_2015"
"1723"	"b_cells_memory"	"MBL2"	"Newman_2015"
"1724"	"b_cells_memory"	"MS4A1"	"Newman_2015"
"1725"	"b_cells_memory"	"NMBR"	"Newman_2015"
"1726"	"b_cells_memory"	"NPIPB15"	"Newman_2015"
"1727"	"b_cells_memory"	"P2RX5"	"Newman_2015"
"1728"	"b_cells_memory"	"PNOC"	"Newman_2015"
"1729"	"b_cells_memory"	"PTPRCAP"	"Newman_2015"
"1730"	"b_cells_memory"	"RALGPS2"	"Newman_2015"
"1731"	"b_cells_memory"	"RASGRP2"	"Newman_2015"
"1732"	"b_cells_memory"	"RIPOR2"	"Newman_2015"
"1733"	"b_cells_memory"	"RUBCNL"	"Newman_2015"
"1734"	"b_cells_memory"	"SIK1"	"Newman_2015"
"1735"	"b_cells_memory"	"SIT1"	"Newman_2015"
"1736"	"b_cells_memory"	"SLC12A1"	"Newman_2015"
"1737"	"b_cells_memory"	"SP140"	"Newman_2015"
"1738"	"b_cells_memory"	"SPIB"	"Newman_2015"
"1739"	"b_cells_memory"	"STAP1"	"Newman_2015"
"1740"	"b_cells_memory"	"TMEM156"	"Newman_2015"
"1741"	"b_cells_memory"	"TNFRSF13B"	"Newman_2015"
"1742"	"b_cells_memory"	"TNFRSF17"	"Newman_2015"
"1743"	"b_cells_memory"	"TRAF4"	"Newman_2015"
"1744"	"b_cells_memory"	"VPREB3"	"Newman_2015"
"1745"	"b_cells_memory"	"ZBTB32"	"Newman_2015"
"1746"	"b_cells_naive"	"ABCB4"	"Newman_2015"
"1747"	"b_cells_naive"	"ADAM28"	"Newman_2015"
"1748"	"b_cells_naive"	"BACH2"	"Newman_2015"
"1749"	"b_cells_naive"	"BANK1"	"Newman_2015"
"1750"	"b_cells_naive"	"BCL7A"	"Newman_2015"
"1751"	"b_cells_naive"	"BEND5"	"Newman_2015"
"1752"	"b_cells_naive"	"BLK"	"Newman_2015"
"1753"	"b_cells_naive"	"BRAF"	"Newman_2015"
"1754"	"b_cells_naive"	"CD180"	"Newman_2015"
"1755"	"b_cells_naive"	"CD19"	"Newman_2015"
"1756"	"b_cells_naive"	"CD1C"	"Newman_2015"
"1757"	"b_cells_naive"	"CD22"	"Newman_2015"
"1758"	"b_cells_naive"	"CD37"	"Newman_2015"
"1759"	"b_cells_naive"	"CD69"	"Newman_2015"
"1760"	"b_cells_naive"	"CD72"	"Newman_2015"
"1761"	"b_cells_naive"	"CD79A"	"Newman_2015"
"1762"	"b_cells_naive"	"CD79B"	"Newman_2015"
"1763"	"b_cells_naive"	"CR2"	"Newman_2015"
"1764"	"b_cells_naive"	"CXCR5"	"Newman_2015"
"1765"	"b_cells_naive"	"EAF2"	"Newman_2015"
"1766"	"b_cells_naive"	"FCER2"	"Newman_2015"
"1767"	"b_cells_naive"	"FCGR2B"	"Newman_2015"
"1768"	"b_cells_naive"	"FCMR"	"Newman_2015"
"1769"	"b_cells_naive"	"FCRL2"	"Newman_2015"
"1770"	"b_cells_naive"	"FRK"	"Newman_2015"
"1771"	"b_cells_naive"	"GPR18"	"Newman_2015"
"1772"	"b_cells_naive"	"GUSBP11"	"Newman_2015"
"1773"	"b_cells_naive"	"HHEX"	"Newman_2015"
"1774"	"b_cells_naive"	"HLA-DOB"	"Newman_2015"
"1775"	"b_cells_naive"	"IGHD"	"Newman_2015"
"1776"	"b_cells_naive"	"IGHM"	"Newman_2015"
"1777"	"b_cells_naive"	"IGKC"	"Newman_2015"
"1778"	"b_cells_naive"	"IGLL3P"	"Newman_2015"
"1779"	"b_cells_naive"	"IL4R"	"Newman_2015"
"1780"	"b_cells_naive"	"IRF8"	"Newman_2015"
"1781"	"b_cells_naive"	"LINC00921"	"Newman_2015"
"1782"	"b_cells_naive"	"LTB"	"Newman_2015"
"1783"	"b_cells_naive"	"LY86"	"Newman_2015"
"1784"	"b_cells_naive"	"MEP1A"	"Newman_2015"
"1785"	"b_cells_naive"	"MICAL3"	"Newman_2015"
"1786"	"b_cells_naive"	"MS4A1"	"Newman_2015"
"1787"	"b_cells_naive"	"NIPSNAP3B"	"Newman_2015"
"1788"	"b_cells_naive"	"NMBR"	"Newman_2015"
"1789"	"b_cells_naive"	"P2RX5"	"Newman_2015"
"1790"	"b_cells_naive"	"P2RY14"	"Newman_2015"
"1791"	"b_cells_naive"	"PNOC"	"Newman_2015"
"1792"	"b_cells_naive"	"PSG2"	"Newman_2015"
"1793"	"b_cells_naive"	"PTPRCAP"	"Newman_2015"
"1794"	"b_cells_naive"	"RALGPS2"	"Newman_2015"
"1795"	"b_cells_naive"	"RASGRP2"	"Newman_2015"
"1796"	"b_cells_naive"	"RUBCNL"	"Newman_2015"
"1797"	"b_cells_naive"	"SELL"	"Newman_2015"
"1798"	"b_cells_naive"	"SIK1"	"Newman_2015"
"1799"	"b_cells_naive"	"SLC12A1"	"Newman_2015"
"1800"	"b_cells_naive"	"SPIB"	"Newman_2015"
"1801"	"b_cells_naive"	"STAP1"	"Newman_2015"
"1802"	"b_cells_naive"	"TCL1A"	"Newman_2015"
"1803"	"b_cells_naive"	"UGT1A8"	"Newman_2015"
"1804"	"b_cells_naive"	"VPREB3"	"Newman_2015"
"1805"	"b_cells_naive"	"ZNF286A"	"Newman_2015"
"1806"	"dendritic_cells_activated"	"ARHGAP22"	"Newman_2015"
"1807"	"dendritic_cells_activated"	"BIRC3"	"Newman_2015"
"1808"	"dendritic_cells_activated"	"CCL1"	"Newman_2015"
"1809"	"dendritic_cells_activated"	"CCL13"	"Newman_2015"
"1810"	"dendritic_cells_activated"	"CCL17"	"Newman_2015"
"1811"	"dendritic_cells_activated"	"CCL18"	"Newman_2015"
"1812"	"dendritic_cells_activated"	"CCL19"	"Newman_2015"
"1813"	"dendritic_cells_activated"	"CCL20"	"Newman_2015"
"1814"	"dendritic_cells_activated"	"CCL22"	"Newman_2015"
"1815"	"dendritic_cells_activated"	"CCL5"	"Newman_2015"
"1816"	"dendritic_cells_activated"	"CCL8"	"Newman_2015"
"1817"	"dendritic_cells_activated"	"CCR7"	"Newman_2015"
"1818"	"dendritic_cells_activated"	"CD1B"	"Newman_2015"
"1819"	"dendritic_cells_activated"	"CD1E"	"Newman_2015"
"1820"	"dendritic_cells_activated"	"CD80"	"Newman_2015"
"1821"	"dendritic_cells_activated"	"CD86"	"Newman_2015"
"1822"	"dendritic_cells_activated"	"CHST7"	"Newman_2015"
"1823"	"dendritic_cells_activated"	"CLIC2"	"Newman_2015"
"1824"	"dendritic_cells_activated"	"CXCL10"	"Newman_2015"
"1825"	"dendritic_cells_activated"	"CXCL11"	"Newman_2015"
"1826"	"dendritic_cells_activated"	"CYP27A1"	"Newman_2015"
"1827"	"dendritic_cells_activated"	"DHX58"	"Newman_2015"
"1828"	"dendritic_cells_activated"	"EBI3"	"Newman_2015"
"1829"	"dendritic_cells_activated"	"ETV3"	"Newman_2015"
"1830"	"dendritic_cells_activated"	"FPR3"	"Newman_2015"
